Treatment,"	R","	G","	B"
"			MV1$\mu$M & GTFG10$\mu$M","	111.344","	120.573","	31.245"
"			MV1$\mu$M & GTFG50$\mu$M","	118.877","	120.24","	31.385"
"			MV1$\mu$M & GTFG50$\mu$M","	107.987","	109.866","	27.922"
"			MV1$\mu$M & GTFG50$\mu$M","	130.399","	129.223","	45.42"
"			MV1$\mu$M & GTFG50$\mu$M","	144.942","	139.575","	72.502"
"			MV1$\mu$M & GTFG50$\mu$M","	104.45","	110.452","	12.504"
"			MV1$\mu$M & GTFG50$\mu$M","	109.625","	116.092","	24.039"
"			MV1$\mu$M & GTFG50$\mu$M","	116.683","	124.662","	23.554"
"			MV1$\mu$M & GTFG50$\mu$M","	125.721","	125.888","	40.012"
"			MV1$\mu$M & GTFG50$\mu$M","	110.316","	117.228","	30.211"
"			MV1$\mu$M & GTFG50$\mu$M","	124.323","	124.719","	42.284"
"			MV0.5$\mu$M","	99.568","	104.239","	29.741"
"			MV0.5$\mu$M","	115.368","	121.722","	45.038"
"			MV0.5$\mu$M","	89.627","	90.527","	30.656"
"			MV0.5$\mu$M","	109.525","	111.663","	22.156"
"			MV0.5$\mu$M","	101.266","	112.166","	23.594"
"			MV0.5$\mu$M","	99.988","	111.252","	45.663"
"			MV0.5$\mu$M","	78.044","	84.842","	39.757"
"			MV0.5$\mu$M","	73.642","	86.31","	11.598"
"			MV0.5$\mu$M","	108.586","	118.557","	33.667"
"			MV0.5$\mu$M","	122.266","	131.445","	26.624"
"			MV0.5$\mu$M & GTFG10$\mu$M","	114.622","	118.655","	64.326"
"			MV0.5$\mu$M & GTFG10$\mu$M","	104.258","	111.665","	31.133"
"			MV0.5$\mu$M & GTFG10$\mu$M","	108.143","	112.993","	34.649"
"			MV0.5$\mu$M & GTFG10$\mu$M","	113.134","	114.473","	42.451"
"			MV0.5$\mu$M & GTFG10$\mu$M","	112.932","	114.257","	54.522"
"			MV0.5$\mu$M & GTFG10$\mu$M","	114.814","	119.732","	54.865"
"			MV0.5$\mu$M & GTFG10$\mu$M","	122.589","	125.212","	51.365"
"			MV0.5$\mu$M & GTFG10$\mu$M","	109.367","	119.209","	37.226"
"			MV0.5$\mu$M & GTFG10$\mu$M","	111.852","	115.317","	50.506"
"			MV0.5$\mu$M & GTFG10$\mu$M","	111.541","	110.095","	51.013"
"			MV0.5$\mu$M & GTFG50$\mu$M","	82.119","	85.569",39.681
"			MV0.5$\mu$M & GTFG50$\mu$M","	114.852","	122.736","	23.561"
"			MV0.5$\mu$M & GTFG50$\mu$M","	101.203","	103.553","	14.417"
"			MV0.5$\mu$M & GTFG50$\mu$M","	120.725","	122.794","	40.362"
"			MV0.5$\mu$M & GTFG50$\mu$M","	98.776","	113.08","	12.553"
"			MV0.5$\mu$M & GTFG50$\mu$M","	90.345","	97.915","	10.521"
"			MV0.5$\mu$M & GTFG50$\mu$M","	116.053","	119.969","	29.498"
"			MV0.5$\mu$M & GTFG50$\mu$M","	91.731","	93.888","	20.081"
"			MV0.5$\mu$M & GTFG50$\mu$M","	99.084","	99.623","	31.252"
"			MV0.5$\mu$M & GTFG50$\mu$M","	128.437","	127.311","	25.918"
